Subject ID,Hemisphere,Cluster
878776,Right,3
878877,Left ,1
878877,Right,1
898176,Left ,1
898176,Right,1
899885,Left ,1
899885,Right,1
901139,Left ,1
901139,Right,1
901442,Left ,1
901442,Right,1
905147,Left ,2
905147,Right,2
910241,Left ,3
910241,Right,2
926862,Left ,1
926862,Right,1
927359,Left ,1
927359,Right,1
942658,Left ,2
942658,Right,3
943862,Left ,3
943862,Right,1
951457,Left ,1
951457,Right,1
958976,Left ,3
958976,Right,2
966975,Left ,2
966975,Right,1
971160,Left ,2
971160,Right,1
973770,Left ,5
973770,Right,2
995174,Left ,3
995174,Right,1
